Time	Open	High	Low	Close	Volume
2024.10.15 08:00	1.0892	1.0892	1.08885	1.08885	568
2024.10.15 08:30	1.08885	1.08915	1.08873	1.08906	783
2024.10.15 09:00	1.08905	1.08915	1.08839	1.08889	1576
2024.10.15 09:30	1.0889	1.08947	1.08883	1.08919	1307
2024.10.15 10:00	1.08916	1.08925	1.0884	1.08903	1922
2024.10.15 10:30	1.08902	1.08977	1.08867	1.08975	1510
2024.10.15 11:00	1.08978	1.09086	1.08962	1.09039	1541
2024.10.15 11:30	1.09038	1.09151	1.09011	1.09093	1451
2024.10.15 12:00	1.09093	1.09135	1.0906	1.09066	1535
2024.10.15 12:30	1.09065	1.09131	1.0905	1.09126	1264
2024.10.15 13:00	1.09126	1.0914	1.09058	1.09101	1246
2024.10.15 13:30	1.09102	1.09111	1.09017	1.09018	1319
2024.10.15 14:00	1.09017	1.09047	1.08963	1.08983	1272
2024.10.15 14:30	1.08984	1.09082	1.0897000000000001	1.09	1776
2024.10.15 15:00	1.09003	1.09082	1.08985	1.09065	1707
2024.10.15 15:30	1.09064	1.09116	1.09037	1.09091	2268
2024.10.15 16:00	1.0909	1.0914	1.09074	1.09114	2356
2024.10.15 16:30	1.09115	1.09158	1.09082	1.09088	2134
2024.10.15 17:00	1.09089	1.09107	1.09033	1.09034	2075
2024.10.15 17:30	1.09034	1.0908	1.0898	1.09017	2927
2024.10.15 18:00	1.09016	1.09061	1.08999	1.0905	2358
2024.10.15 18:30	1.0905	1.09062	1.08976	1.08979	1427
2024.10.15 19:00	1.08979	1.09015	1.08921	1.08939	1142
2024.10.15 19:30	1.0894	1.0894	1.08884	1.08884	822
2024.10.15 20:00	1.08884	1.08894	1.08826	1.08836	955
2024.10.15 20:30	1.08837	1.08862	1.0881	1.08841	1028
2024.10.15 21:00	1.0884	1.08888	1.0883	1.08881	836
2024.10.15 21:30	1.08881	1.08894	1.08858	1.08862	689
2024.10.15 22:00	1.08866	1.0889199999999999	1.08855	1.08876	923
